"text","author"
"I am as positive that yesterday was Sunday as I am that I sit upon this chair.""","EAP"
"""By the Waters of the Brook,"" by Rev.","HPL"
"Even for thy woes I love thee-even for thy woes- Thy beauty and thy woes.","EAP"
"Negotium perambulans in tenebris.","HPL"
"Perdita tried to read his countenance, which he angrily averted.","MWS"
"This daemoniac laughter which I hear as I write comes only from my own weakening brain.","HPL"
"We rushed amid the crowd that surrounded it.","EAP"
"We then saw three seamen, whom by their dress we took to be Hollanders.","EAP"
"The gods do bear and will allow in kings The things which they abhor in rascal routes.","EAP"
"Perdita listened to me impatiently, and answered with some asperity:-""Do you think that any of your arguments are new to me?","MWS"
"And thus cheerfulness reigned in our little society.","MWS"
"Clara, Evelyn, and a female who acted as our attendant, were the only persons with whom we had contact.","MWS"
"You will take her back to Windsor.","MWS"
"There are moments when, even to the sober eye of Reason, the world of our sad Humanity may assume the semblance of a Hell-but the imagination of man is no Carathis, to explore with impunity its every cavern.","EAP"
"Love, on the contrary-Love-the true, the divine Eros-the Uranian as distinguished from the Diona an Venus-is unquestionably the purest and truest of all poetical themes.","EAP"
"A sod covers his gentle form, and he knows no pain.","MWS"
"A train weighing 90 tons was whirled from Paddington to Didcot (53 miles) in 51 minutes.","EAP"
"Shall I go alone, or will you accompany me?""","MWS"
"The most northern is in latitude 52 degrees 37' 24"" S., longitude 47 degrees, 43' 15"" W.; the middle one in latitude 53 degrees 2' 40"" S., longitude 47 degrees 55' 15"" W.; and the most southern in latitude 53 degrees 15' 22"" S., longitude 47 degrees 57' 15"" W. On the twenty-seventh of January, 1820, Captain James Weddel, of the British navy, sailed from Staten Land also in search of the Auroras.","EAP"
"""- ""Not without you,"" I said.","MWS"
"He was an impostor in the most determined sense of the term.","MWS"
"After a moment there came another soft rattling, and I knew that the room to the south of me was being entered.","HPL"
"We even avoid looking at it very steadily.""","HPL"
"Wlllett meanwhile had gone up to the dismantled laboratory and brought down a few odds and ends not included in the moving of the July before.","HPL"
"The archaic lanes and houses and unexpected bits of square and court had indeed delighted me, and when I found the poets and artists to be loud- voiced pretenders whose quaintness is tinsel and whose lives are a denial of all that pure beauty which is poetry and art, I stayed on for love of these venerable things.","HPL"
"But on the day that was to fulfil my wishes and my destiny, she was melancholy, and a presentiment of evil pervaded her; and perhaps also she thought of the dreadful secret, which I had promised to reveal to her the following day.","MWS"
"I told them 1 wouldn't go where they wish, or in the terrible way they propose to take me, but I'm afraid it will be no use.","HPL"
"I knew what it was - I ought to have remembered.","HPL"
"God knows how many there were - ^there must have been thousands.","HPL"
"At any rate he resolved to keep up the drama to the last act.","MWS"
"Made bold by this heaven-sent circumstance, I began to resume perfect openness in going to the vault; confident that no one could witness my entrance.","HPL"
"People allowed maybe old Captain Obed traded for it in some heathen port, especially since he was always ordering stacks of glass beads and trinkets such as seafaring men used to get for native trade.","HPL"
"scenes sacred to devoted love, when shall I see you again!","MWS"
"Among the numerous train of maladies superinduced by that fatal and primary one which effected a revolution of so horrible a kind in the moral and physical being of my cousin, may be mentioned as the most distressing and obstinate in its nature, a species of epilepsy not unfrequently terminating in trance itself-trance very nearly resembling positive dissolution, and from which her manner of recovery was in most instances, startlingly abrupt.","EAP"
"So far as she merely was concerned, she began to hope for defeat; and it was only on his account that her feelings vacillated, as she heard him gallop into the court-yard of the inn.","MWS"
"""I tell ye, Mis' Corey, they's suthin' abroad as hadn't orter be abroad, an' I fer one think that black Wilbur Whateley, as come to the bad eend he desarved, is at the bottom of the breedin' of it.","HPL"
"It is absolutely necessary that she should be well armed.","EAP"
"the only joy that he can now know will be when he composes his shattered spirit to peace and death.","MWS"
"He was conspicuous for his conduct and choice of position in a battle fought in the plains of Thrace, on the banks of the Hebrus, which was to decide the fate of Islam.","MWS"
"Von Kempelen, however, is by no means 'a misanthrope,' in appearance, at least, whatever he may be in fact.","EAP"
"Whatever I gette, you shal haue.","HPL"
"""There are, properly,"" he writes, ""but two styles of landscape-gardening, the natural and the artificial.","EAP"
"It is no mere appreciation of the Beauty before us, but a wild effort to reach the Beauty above.","EAP"
"Not long aftenward a steep descent in a long, low, doorless, and peculiarly sculptureless corridor led us to believe that we were approaching the tunnel-mouth at last.","HPL"
"Emulation, that in its excess almost assumed the venomous properties of envy, gave a sting to these feelings.","MWS"
"You do not know me, Verney; neither you, nor our audience of last night, nor does universal England know aught of me.","MWS"
"Mr. Poe's secret lies mainly in the skill with which he has employed the strange fascination of mystery and terror.","EAP"
"Danforth and I have recollections of emerging into the great sculptured hemisphere and of threading our back trail through the Cyclopean rooms and corridors of the dead city; yet these are purely dream-fragments involving no memory of volition, details, or physical exertion.","HPL"
"My friend had told me of him, and of the impelling fascination and allurement of his revelations, and I burned with eagerness to explore his uttermost mysteries.","HPL"
"The thing was done, and I put money in my purse.","EAP"
"Where, in this wilderness of death, art thou, O Raymond-ornament of England, deliverer of Greece, ""hero of unwritten story,"" where in this burning chaos are thy dear relics strewed?","MWS"
"Everything had happened in the last half- hour, but collapse, greying, and disintegration were already far advanced.","HPL"
"Just as the Intellect concerns itself with Truth, so Taste informs us of the Beautiful, while the Moral Sense is regardful of Duty.","EAP"
"When we first discovered her, her bows were alone to be seen, as she rose slowly from the dim and horrible gulf beyond her.","EAP"
"I felt ahead, touched the back of Zann's chair, and then found and shook his shoulder in an effort to bring him to his senses.","HPL"
"That storm, said men who had ventured down the mine shaft, had caused extensive caving in, and had completely closed the deep abyss which had created so much apprehension the day before.","HPL"
"THE BROOKLYNITE for January is of unusual merit, fairly teeming with features of a well-written and substantial character.","HPL"
"No doubt the true object was to admit the arm of an attendant, to adjust, when necessary, the hands of the clock from within.","EAP"
"Once a writing of his fell into Perdita's hands; it was blotted with tears-well might any blot it with the like- ""Life""-it began thus-""is not the thing romance writers describe it; going through the measures of a dance, and after various evolutions arriving at a conclusion, when the dancers may sit down and repose.","MWS"
"There was a mad disorder in my thoughts-a tumult unappeasable.","EAP"
"The Council of Sages, recognising the visitor, offered a gourd of fermented sap from a haunted tree unlike the others, which had grown from a seed dropt down by someone on the moon; and as Carter drank it ceremoniously a very strange colloquy began.","HPL"
"That peddler told the store loungers at Dunwich Village that he thought he heard a horse stamping on that floor above.","HPL"
"He says Ol' Whateley's haouse is all blowed up, with the timbers scattered raound like they'd ben dynamite inside; only the bottom floor ain't through, but is all covered with a kind o' tarlike stuff that smells awful an' drips daown offen the aidges onto the graoun' whar the side timbers is blowed away.","HPL"
"The surface I uncovered was fishy and glassy - a kind of semi-putrid congealed jelly with suggestions of translucency.","HPL"
"Bottomless vales and boundless floods, And chasms, and caves, and Titian woods, With forms that no man can discover For the dews that drip all over; Mountains toppling evermore Into seas without a shore; Seas that restlessly aspire, Surging, unto skies of fire; Lakes that endlessly outspread Their lone waters-lone and dead,- Their still waters-still and chilly With the snows of the lolling lily.","EAP"
"The timing was too close to admit of doubt.","HPL"
